가게명,리뷰수,배달기준금액,배달비,리뷰수_log,배달기준금액_log,배달비_log,ClusterLabel
굽네치킨&피자-방학1동점,1019,15000,3000,6.927557906278317,9.61587214452889,8.006700845440367,1
파무쳐두마리파닭,781,15000,2000,6.661854740545311,9.61587214452889,7.601402334583733,2
동근이숯불두마리치킨-노원점,1043,15900,2500,6.950814768442584,9.674137279312397,7.824445930877619,1
불아더숯불바베큐-노원점,132,16000,4000,4.890349128221754,9.680406499268875,8.294299608857235,1
롯데리아-마들역점,3879,10000,3500,8.263590432617319,9.210440366976517,8.160803920954665,0
BBQ-도봉역점,426,17000,3000,6.056784013228625,9.741027444837728,8.006700845440367,1
썬더치킨-상계점,504,14900,3000,6.22455842927536,9.60918360377546,8.006700845440367,1
맛있는파닭-방학점,33,15000,4000,3.5263605246161616,9.61587214452889,8.294299608857235,3
청춘불닭발-강북점,86,17000,5900,4.465908118654584,9.741027444837728,8.682877107057168,1
노랑통닭-중계점,2494,18000,3000,7.822044008185619,9.798182590890704,8.006700845440367,1
후라이드참잘하는집-상계점,5217,10000,2000,8.559869465696673,9.210440366976517,7.601402334583733,2
이끌리오-중계점,331,13000,1000,5.805134968916488,9.472781556562168,6.90875477931522,2
BHC-중계본점,7215,16000,3000,8.88405606174246,9.680406499268875,8.006700845440367,1
지코바-노원상계2호점,5200,12000,3000,8.556606193773073,9.392745258631441,8.006700845440367,1
맛닭꼬-상계로또점,367,10000,1000,5.908082938168931,9.210440366976517,6.90875477931522,2
꼬꼬스토리-상계보람점,266,8000,2900,5.58724865840025,8.987321812850125,7.972810784121404,0
BHC-상계대박점,631,16000,3000,6.448889394146858,9.680406499268875,8.006700845440367,1
지코바치킨-노원상계1호점,653,17000,3000,6.483107351457199,9.741027444837728,8.006700845440367,1
푸라닭-수락산역점,326,18900,2500,5.7899601708972535,9.846970109700957,7.824445930877619,1
BBQ-마들점,2647,15000,3000,7.881559917056899,9.61587214452889,8.006700845440367,1
BHC-마들점,1453,16000,3000,7.282073658093465,9.680406499268875,8.006700845440367,1
처갓집양념치킨-노원역점,1328,17000,2000,7.192182058713246,9.741027444837728,7.601402334583733,2
처갓집양념치킨-상계점,3562,16000,2000,8.178358165605836,9.680406499268875,7.601402334583733,2
BBQ-방학점,1123,18000,3500,7.024649030453636,9.798182590890704,8.160803920954665,1
푸라닭-상계1호점,261,16900,3000,5.568344503761097,9.735128070758227,8.006700845440367,1
코리엔탈깻잎두마리치킨-상계1호점,1082,15000,2000,6.9874902470009905,9.61587214452889,7.601402334583733,2
큰집닭강정-마들점,162,8000,3500,5.093750200806762,8.987321812850125,8.160803920954665,0
푸라닭-하계점,61,16900,4000,4.127134385045092,9.735128070758227,8.294299608857235,3
교촌치킨-도봉점,2072,16000,4000,7.636752112435779,9.680406499268875,8.294299608857235,1
꼬꼬스토리닭강정-수락산역점,744,8000,2900,6.61338421837956,8.987321812850125,7.972810784121404,0
60계-서울상계점,362,16500,2900,5.8944028342648505,9.711176264112805,7.972810784121404,1
모모치킨-상계점,1516,14000,2000,7.324489979348532,9.546884034617925,7.601402334583733,2
처갓집양념치킨-수락산점,1800,17000,2000,7.496097345175956,9.741027444837728,7.601402334583733,2
호식이두마리치킨-중계행복점,2469,16000,2000,7.8119734296220225,9.680406499268875,7.601402334583733,2
굽네치킨&피자-상계6.7동점,3914,15000,3000,8.272570608424903,9.61587214452889,8.006700845440367,1
BHC-도봉역점,9684,16000,3000,9.178333575841096,9.680406499268875,8.006700845440367,1
지코바치킨-방학1호점,704,17000,3000,6.558197802812269,9.741027444837728,8.006700845440367,1
명가옛날통닭-노원점,190,15000,2000,5.25227342804663,9.61587214452889,7.601402334583733,2
페리카나-상계역점,3251,17000,3000,8.087025470667701,9.741027444837728,8.006700845440367,1
크라칸치킨,205,14900,2000,5.327876168789581,9.60918360377546,7.601402334583733,2
푸라닭-쌍문점,1203,15900,4500,7.093404625868766,9.674137279312397,8.412054873292933,1
노랑통닭-방학점,614,18000,3500,6.421622267806518,9.798182590890704,8.160803920954665,1
앤덤두마리치킨,1472,16000,2000,7.29505641646263,9.680406499268875,7.601402334583733,2
가마로강정-방학역점,242,15000,3000,5.493061443340548,9.61587214452889,8.006700845440367,1
교촌치킨-수락산역점,1065,16000,4000,6.97166860472579,9.680406499268875,8.294299608857235,1
자담치킨-방학점,181,18000,3800,5.204006687076795,9.798182590890704,8.24301946898925,1
국제통닭-노원직영점,240,10000,2000,5.484796933490655,9.210440366976517,7.601402334583733,0
BHC-중계점,2454,16000,3000,7.805882040228621,9.680406499268875,8.006700845440367,1
롯데리아-노원역점,1970,10000,3500,7.58629630715272,9.210440366976517,8.160803920954665,0
피치떡&노원점,75,14900,1000,4.330733340286331,9.60918360377546,6.90875477931522,2
오븐화치킨-상계점,316,14000,2000,5.75890177387728,9.546884034617925,7.601402334583733,2
처갓집양념치킨-도봉점,984,17000,3000,6.892641641172089,9.741027444837728,8.006700845440367,1
푸라닭-중계점,84,16900,3500,4.442651256490317,9.735128070758227,8.160803920954665,1
알통떡강정-쌍문점,473,11000,4000,6.161207321695077,9.305741456739435,8.294299608857235,0
순삭닭강정-상계점,257,15000,2000,5.552959584921617,9.61587214452889,7.601402334583733,2
호식이두마리치킨-수락산점,855,14000,3000,6.752270376141742,9.546884034617925,8.006700845440367,1
순살만공격-상계점,88,14000,4000,4.48863636973214,9.546884034617925,8.294299608857235,3
미쳐버린파닭-상계중계점,213,15000,2000,5.365976015021851,9.61587214452889,7.601402334583733,2
꾸브라꼬숯불두마리치킨-상계점,324,16500,3000,5.783825182329737,9.711176264112805,8.006700845440367,1
굽네치킨&피자-수락점,2288,13500,4000,7.735870319952567,9.510519035757246,8.294299608857235,1
기영이숯불두마리치킨-노원상계점,45,15000,2500,3.828641396489095,9.61587214452889,7.824445930877619,3
노랑통닭-노원역점,1316,18000,3500,7.183111701743281,9.798182590890704,8.160803920954665,1
맛닭꼬-중계브라운스톤점,276,12000,3000,5.6240175061873385,9.392745258631441,8.006700845440367,0
기영이숯불두마리치킨-도봉방학점,69,17000,4000,4.248495242049359,9.741027444837728,8.294299608857235,3
부어치킨-상계로또사거리점,1528,16000,3000,7.332369205929062,9.680406499268875,8.006700845440367,1
BHC-하계점,2232,16000,4500,7.711101251840158,9.680406499268875,8.412054873292933,1
치킨마루-보람한신점,600,14000,2000,6.398594934535208,9.546884034617925,7.601402334583733,2
썬더치킨-도봉구청점,109,13900,2900,4.700480365792417,9.539716058977092,7.972810784121404,1
도깨비시장옛날통닭,60,11000,3400,4.110873864173311,9.305741456739435,8.131824785007195,0
스마일닭강정,277,12000,4400,5.627621113690637,9.392745258631441,8.38958706681109,0
꼬꼬스토리-도봉한신점,69,8000,3000,4.248495242049359,8.987321812850125,8.006700845440367,0
교촌치킨-상계보람점,210,15000,4000,5.351858133476067,9.61587214452889,8.294299608857235,1
닭강정공방-노원중앙점,296,11000,3400,5.6937321388027,9.305741456739435,8.131824785007195,0
가마로강정-은행사거리점,1680,17000,4400,7.427144133408616,9.741027444837728,8.38958706681109,1
누룽통닭-방학점,9,15000,2900,2.302585092994046,9.61587214452889,7.972810784121404,3
전설의바베큐치킨,411,17000,3400,6.021023349349527,9.741027444837728,8.131824785007195,1
순살의민족-창동점,242,9900,3400,5.493061443340548,9.200391041122515,8.131824785007195,0
롯데리아-창동역점,2424,10000,3500,7.793586803371584,9.210440366976517,8.160803920954665,0
걸작떡볶이치킨-쌍문창동점,3925,18000,3000,8.275376374836407,9.798182590890704,8.006700845440367,1
오븐마루-중계점,1035,14000,3500,6.943122422819428,9.546884034617925,8.160803920954665,1
푸라닭-상계역점,675,16900,4500,6.516193076042964,9.735128070758227,8.412054873292933,1
네네치킨-방학1점,1811,16000,4000,7.502186486602924,9.680406499268875,8.294299608857235,1
BHC-상계행복점,909,16000,4000,6.813444599510896,9.680406499268875,8.294299608857235,1
푸라닭-창4동점,555,15900,3500,6.320768294250582,9.674137279312397,8.160803920954665,1
또래오래-도봉점,396,15000,3000,5.983936280687191,9.61587214452889,8.006700845440367,1
네네치킨-상계마들점,1731,15000,3000,7.4570320891223805,9.61587214452889,8.006700845440367,1
서오릉피자-노원상계점,167,15000,1500,5.123963979403259,9.61587214452889,7.313886831633462,2
BBQ-상계수락점,142,18000,3000,4.962844630259907,9.798182590890704,8.006700845440367,1
강가옛날통닭,22,15000,2000,3.1354942159291497,9.61587214452889,7.601402334583733,3
치킨마루-마들점,586,16000,2000,6.375024819828097,9.680406499268875,7.601402334583733,2
BBQ-노원스타점,32,15000,4000,3.4965075614664802,9.61587214452889,8.294299608857235,3
88옛날통닭-창동점,16,15000,3900,2.833213344056216,9.61587214452889,8.268988209506656,3
참존숯불바베큐치킨-방학점,92,15000,3000,4.532599493153256,9.61587214452889,8.006700845440367,1
롯데리아-수락산역점,1165,10000,4000,7.061334366910438,9.210440366976517,8.294299608857235,0
맘스터치-노원로데오점,750,12000,3500,6.621405651764134,9.392745258631441,8.160803920954665,1
굽네치킨&피자-상계보람점,1265,15000,4000,7.143617602704121,9.61587214452889,8.294299608857235,1
요녀석파스타&필라프-도봉점,555,10000,2900,6.320768294250582,9.210440366976517,7.972810784121404,0
순수치킨-상계점,415,16000,2000,6.030685260261263,9.680406499268875,7.601402334583733,2
큰집닭강정-창동직영점,15,10000,3400,2.772588722239781,9.210440366976517,8.131824785007195,3
롯데리아-GS마트상계점,83,10000,3500,4.430816798843313,9.210440366976517,8.160803920954665,0
맥시칸치킨-상계점,470,17000,3000,6.154858094016418,9.741027444837728,8.006700845440367,1
큰집닭강정-쌍문역점,46,13000,4400,3.8501476017100584,9.472781556562168,8.38958706681109,3
통닭마니아-수락산역점,6,15000,2900,1.9459101490553132,9.61587214452889,7.972810784121404,3
호식이두마리치킨-창동점,754,15000,4000,6.626717749249025,9.61587214452889,8.294299608857235,1
테이크돈,3,14000,2900,1.3862943611198906,9.546884034617925,7.972810784121404,3
가마꿉-도봉점,3,15000,2000,1.3862943611198906,9.61587214452889,7.601402334583733,3
와구이닭,0,15000,3400,0.0,9.61587214452889,8.131824785007195,3
두레통닭-신도봉점,42,10000,2900,3.7612001156935624,9.210440366976517,7.972810784121404,0
새우치킨덤-창동점,201,16900,4300,5.308267697401205,9.735128070758227,8.366602832783736,1
꼬꼬스토리-중계은사점,152,15000,4400,5.030437921392435,9.61587214452889,8.38958706681109,1
KFC-노원역점,760,11000,3000,6.634633357861686,9.305741456739435,8.006700845440367,0
마로바베큐치킨,87,14000,3500,4.477336814478207,9.546884034617925,8.160803920954665,3
닥엔돈스직화바베큐치킨-상계점,6,19000,2500,1.9459101490553132,9.852246888342531,7.824445930877619,3
알통떡강정-상계점,28,15000,2500,3.367295829986474,9.61587214452889,7.824445930877619,3
88옛날통닭&안주마을,48,15000,3000,3.8918202981106265,9.61587214452889,8.006700845440367,3
채선당도시락&샐러드-마들점,562,15000,2900,6.333279628139691,9.61587214452889,7.972810784121404,1
God치킨,47,12000,4000,3.871201010907891,9.392745258631441,8.294299608857235,3
치탑7-수락산점,31,13000,2000,3.4657359027997265,9.472781556562168,7.601402334583733,3
파스타집이야-노원점,453,8000,2500,6.118097198041348,8.987321812850125,7.824445930877619,0
피자헤븐-상계점,1848,17000,1000,7.522400231387125,9.741027444837728,6.90875477931522,2
피플스파스타-노원점,199,14000,3000,5.298317366548036,9.546884034617925,8.006700845440367,1
프레드피자-서울노원점,209,15900,3000,5.3471075307174685,9.674137279312397,8.006700845440367,1
피자벨리-본점,479,15900,2000,6.173786103901937,9.674137279312397,7.601402334583733,2
오늘은스파게티&치즈밥-노원구점,69,13000,3500,4.248495242049359,9.472781556562168,8.160803920954665,3
세븐한식&분식천국,847,13000,3000,6.742880635791903,9.472781556562168,8.006700845440367,1
레전드고기한상-도봉점,378,10000,3000,5.937536205082426,9.210440366976517,8.006700845440367,0
599버거,182,10500,4000,5.209486152841421,9.259225769705994,8.294299608857235,0
덕수파스타-수유점,1,12000,3900,0.6931471805599453,9.392745258631441,8.268988209506656,3
서오릉피자-노원상계점,167,15000,1500,5.123963979403259,9.61587214452889,7.313886831633462,2
7번가피자-상계점,5871,19000,1000,8.677950570294351,9.852246888342531,6.90875477931522,2
요녀석파스타&필라프-도봉점,555,10000,2900,6.320768294250582,9.210440366976517,7.972810784121404,0
자가제빵선명희피자-창동점,1478,20000,2400,7.2991214627108,9.90353755128617,7.783640596221253,1
스파게티스토리-노원점,1133,13000,2400,7.033506484287697,9.472781556562168,7.783640596221253,1
파스타한끼!,74,5000,2000,4.31748811353631,8.517393171418904,7.601402334583733,0
젓가락파스타&돈부리,388,7000,2400,5.963579343618446,8.853808274977197,7.783640596221253,0
빨간모자피자-노원점,173,15000,1500,5.159055299214529,9.61587214452889,7.313886831633462,2
도로시파스타연정-노원중앙점,156,8000,2500,5.056245805348308,8.987321812850125,7.824445930877619,0
로니로티-노원점,120,15000,1500,4.795790545596741,9.61587214452889,7.313886831633462,2
피제이피자-노원직영점,1202,14900,1000,7.0925737159746784,9.60918360377546,6.90875477931522,2
반올림피자-상계중계점,1635,15900,2000,7.400009517162692,9.674137279312397,7.601402334583733,2
서양국시,120,10000,2000,4.795790545596741,9.210440366976517,7.601402334583733,0
옐로우피자-상계점,629,15900,1000,6.4457198193855785,9.674137279312397,6.90875477931522,2
파스타입니다-노원점,1310,7000,3200,7.1785454837637,8.853808274977197,8.071218539969863,0
피자에땅-중계점,941,15900,1000,6.848005274576363,9.674137279312397,6.90875477931522,2
버텍스미국식덮밥-노원점,342,9900,3400,5.8377304471659395,9.200391041122515,8.131824785007195,0
피자런-수락점,252,11900,1000,5.53338948872752,9.38437770918244,6.90875477931522,2
폭풍토핑피자스톰-노원점,49,15900,2000,3.912023005428146,9.674137279312397,7.601402334583733,2
피자아이씨-중계본동점,58,15000,3000,4.07753744390572,9.61587214452889,8.006700845440367,3
피자애-노원역점,338,11000,1000,5.82600010738045,9.305741456739435,6.90875477931522,2
아웃백-노원점,387,20000,2500,5.961005339623274,9.90353755128617,7.824445930877619,1
봉대박파스타&스테이크-노원역점,292,15000,3400,5.680172609017068,9.61587214452889,8.131824785007195,1
슬로우캘리-노원점,92,12000,3400,4.532599493153256,9.392745258631441,8.131824785007195,0
피자1989-상계점,886,15900,3500,6.787844982309579,9.674137279312397,8.160803920954665,1
파파존스피자-노원점,594,19900,2000,6.38856140554563,9.898525260706313,7.601402334583733,2
써브웨이-수락산역점,70,12900,2900,4.2626798770413155,9.465060106725137,7.972810784121404,3
피자헛-수락산역점,1569,19900,2000,7.358830898342354,9.898525260706313,7.601402334583733,2
왕손피자-도봉구점,1267,15000,2000,7.145196134997171,9.61587214452889,7.601402334583733,2
서가앤쿡-서울노원점,201,20000,3000,5.308267697401205,9.90353755128617,8.006700845440367,1
백종원의롤링파스타-노원역점,388,15000,4000,5.963579343618446,9.61587214452889,8.294299608857235,1
미스터피자-상계점,775,19900,2000,6.654152520183219,9.898525260706313,7.601402334583733,2
피자창고,109,12500,1000,4.700480365792417,9.433563920090563,6.90875477931522,2
올드델리,364,15000,3400,5.8998973535824915,9.61587214452889,8.131824785007195,1
올리오,215,11000,3400,5.375278407684165,9.305741456739435,8.131824785007195,0
이퓨레,103,12000,2400,4.6443908991413725,9.392745258631441,7.783640596221253,0
도미노피자-상계점,1147,21900,2000,7.045776576879511,9.994287576862567,7.601402334583733,2
자가제빵선명희피자-노원점,302,20000,3400,5.713732805509369,9.90353755128617,8.131824785007195,1
피치랑피자&치킨-노원상계점,193,16000,2000,5.267858159063328,9.680406499268875,7.601402334583733,2
돼지게티-노원구점,63,15900,2600,4.1588830833596715,9.674137279312397,7.8636512654486515,3
마마스임실치즈피자-노원상계점,148,18000,2000,5.003946305945459,9.798182590890704,7.601402334583733,2
이태리면가게파스타&필라프-노원점,82,10000,3400,4.418840607796598,9.210440366976517,8.131824785007195,0
덤덤피자-방학점,148,17000,1500,5.003946305945459,9.741027444837728,7.313886831633462,2
피자애-상계점,62,12000,4000,4.143134726391533,9.392745258631441,8.294299608857235,3
피자알볼로-상계점,621,18000,4000,6.432940092739179,9.798182590890704,8.294299608857235,1
굽네치킨&피자-방학1동점,1019,15000,3000,6.927557906278317,9.61587214452889,8.006700845440367,1
1인피자고피자-중계학원가점,189,9900,4400,5.247024072160486,9.200391041122515,8.38958706681109,0
어글리스토브-노원역점,34,15900,3400,3.5553480614894135,9.674137279312397,8.131824785007195,3
수제피자꼬레노,472,14900,2000,6.159095388491933,9.60918360377546,7.601402334583733,2
파스토보이-도봉점,223,9500,4000,5.4116460518550396,9.15915233520675,8.294299608857235,0
파스타미식당,199,9900,3900,5.298317366548036,9.200391041122515,8.268988209506656,0
닐리비스트로-중계점,30,12000,4400,3.4339872044851463,9.392745258631441,8.38958706681109,3
오구쌀피자-상계7단지점,81,14900,2500,4.406719247264253,9.60918360377546,7.824445930877619,3
제주돈줘&보네르파스타,42,10000,2900,3.7612001156935624,9.210440366976517,7.972810784121404,0
빅보이스테이크 중계점,892,15000,5400,6.794586580876499,9.61587214452889,8.594339400592892,1
피자꾼-창동점,64,20000,2000,4.174387269895637,9.90353755128617,7.601402334583733,2
리얼파스타-창동점,86,15000,3500,4.465908118654584,9.61587214452889,8.160803920954665,1
컨트리맨즈-중계점,26,20000,3400,3.295836866004329,9.90353755128617,8.131824785007195,3
엣지리스피자,59,14900,2900,4.0943445622221,9.60918360377546,7.972810784121404,3
밥깨비-노원점,1039,12000,2000,6.946975992135418,9.392745258631441,7.601402334583733,2
프랭크수제치즈버거-노원역점,734,9900,3400,6.5998704992128365,9.200391041122515,8.131824785007195,0
써브웨이-노원점,787,8000,3900,6.669498089857879,8.987321812850125,8.268988209506656,0
피자창고-쌍문점,3,13500,2900,1.3862943611198906,9.510519035757246,7.972810784121404,3
투파인드피터-노원점,6,15000,3000,1.9459101490553132,9.61587214452889,8.006700845440367,3
헝그리브라더스필라프&파스타-쌍문점,1303,15000,5500,7.1731917424865985,9.61587214452889,8.612685172875459,1
샐러드로우&트라타-노원점,139,11000,2700,4.941642422609304,9.305741456739435,7.901377353792616,0
요남자파스타,121,15000,5400,4.804021044733257,9.61587214452889,8.594339400592892,1
피자먹다-중계점,5,12900,3900,1.791759469228055,9.465060106725137,8.268988209506656,3
밀창고-방학점,0,12900,2500,0.0,9.465060106725137,7.824445930877619,3
2ndmeal(세컨밀),63,13000,3900,4.1588830833596715,9.472781556562168,8.268988209506656,3
삿포로돈까스앤스파게티,5632,12000,6400,8.636397438894713,9.392745258631441,8.764209507142004,1
미(美)스테이크,34,11000,3400,3.5553480614894135,9.305741456739435,8.131824785007195,3
502세컨즈카페-노원점,1280,14000,3000,7.155396301896734,9.546884034617925,8.006700845440367,1
솔로박스-태릉점,44,11900,4000,3.8066624897703196,9.38437770918244,8.294299608857235,3
마르코존스피자&오렌지몽키파스타,0,9900,3400,0.0,9.200391041122515,8.131824785007195,3
돈카춘돈까스&카레-노원점,212,10000,2900,5.3612921657094255,9.210440366976517,7.972810784121404,0
두마리찜닭두찜-수락산역점,1926,17800,2000,7.563719668414366,9.787009914477434,7.601402334583733,2
굽네치킨&피자-상계6.7동점,3914,15000,3000,8.272570608424903,9.61587214452889,8.006700845440367,1
배가당함박스테이크,16,13000,2900,2.833213344056216,9.472781556562168,7.972810784121404,3
비엣포쌀국수,314,15900,3500,5.752572638825633,9.674137279312397,8.160803920954665,1
멕시칸라이브그릴-하계점,201,17000,6400,5.308267697401205,9.741027444837728,8.764209507142004,1
제임스키친-노원점,53,20000,3400,3.9889840465642745,9.90353755128617,8.131824785007195,3
써브웨이-중계은행사거리점,175,8000,4200,5.170483995038151,8.987321812850125,8.343077871169383,0
프랭크수제치즈버거-수락산역점,310,9900,3300,5.739792912179234,9.200391041122515,8.101980731853192,0
스테이크스토리,14,10000,4000,2.70805020110221,9.210440366976517,8.294299608857235,3
프랭크버거-중계에이스타워점,48,9800,4000,3.8918202981106265,9.19023970026918,8.294299608857235,0
버거브라더-도봉점,224,13000,2900,5.41610040220442,9.472781556562168,7.972810784121404,1
소테파스타,363,11000,3500,5.8971538676367405,9.305741456739435,8.160803920954665,0
매일파스타-중계점,30,13000,5400,3.4339872044851463,9.472781556562168,8.594339400592892,3
삼각지붕에화덕피자,10,12000,5000,2.3978952727983707,9.392745258631441,8.517393171418904,3
오렌지몽키파스타&피자-노원점,3,15000,2900,1.3862943611198906,9.61587214452889,7.972810784121404,3
헬로파스타,10,12000,4400,2.3978952727983707,9.392745258631441,8.38958706681109,3
포메인-중계점,98,15000,3500,4.59511985013459,9.61587214452889,8.160803920954665,1
마이스테이크,1,10000,4000,0.6931471805599453,9.210440366976517,8.294299608857235,3
뉴욕핫도그앤커피-쌍문점,44,15000,5000,3.8066624897703196,9.61587214452889,8.517393171418904,3
고져스파스타,42,9900,6400,3.7612001156935624,9.200391041122515,8.764209507142004,0
TGIF-롯데백화점노원점,10,19000,2000,2.3978952727983707,9.852246888342531,7.601402334583733,3
굽네치킨&피자-수락점,2288,13500,4000,7.735870319952567,9.510519035757246,8.294299608857235,1
나우키친-중계점,231,15000,4400,5.44673737166631,9.61587214452889,8.38958706681109,1
아담만두앤파스타-신창동점,3,12900,5400,1.3862943611198906,9.465060106725137,8.594339400592892,3
두마리찜닭두찜-노원하계점,2807,12000,5000,7.940227765145702,9.392745258631441,8.517393171418904,1
담꾹-노원점,19,10000,2900,2.995732273553991,9.210440366976517,7.972810784121404,3
홍대쌀국수-방학점,23,12000,3000,3.1780538303479458,9.392745258631441,8.006700845440367,3
장스테이크&파스타-본점,31,13000,3400,3.4657359027997265,9.472781556562168,8.131824785007195,3
피치떡&노원점,75,14900,1000,4.330733340286331,9.60918360377546,6.90875477931522,2
지니피자,6,15000,4400,1.9459101490553132,9.61587214452889,8.38958706681109,3
조아요돈까스,10,10000,4000,2.3978952727983707,9.210440366976517,8.294299608857235,3
라와마라탕-2호점,644,15000,3000,6.4692503167957724,9.61587214452889,8.006700845440367,1
착한마라탕-노원점,54,13000,3000,4.007333185232471,9.472781556562168,8.006700845440367,3
